fpr,tpr
0.0,0.0
0.0,0.09090909090909091
0.03571428571428571,0.18181818181818182
0.05357142857142857,0.18181818181818182
0.05357142857142857,0.22727272727272727
0.07142857142857142,0.3181818181818182
0.07142857142857142,0.36363636363636365
0.07142857142857142,0.4090909090909091
0.08928571428571429,0.4090909090909091
0.10714285714285714,0.5
0.125,0.5
0.14285714285714285,0.5
0.21428571428571427,0.5909090909090909
0.23214285714285715,0.6363636363636364
0.25,0.7272727272727273
1.0,1.0
1.0,1.0
